dataset,strategy,seed,metric,value
mnist,exact_retraining,48,unlearning_score,0.0123
mnist,exact_retraining,48,forget_confidence_mean_unlearned,0.9815
mnist,exact_retraining,48,forget_entropy_mean_unlearned,0.0577
mnist,exact_retraining,48,mia_accuracy_unlearned,0.5268
mnist,exact_retraining,48,mia_improvement,-0.0071
mnist,exact_retraining,48,js_divergence_mean,0.0111
mnist,exact_retraining,48,activation_cosine_similarity,0.0269
mnist,exact_retraining,48,retrain_fraction,0.7299
mnist,exact_retraining,49,utility_accuracy_test,0.9858
mnist,exact_retraining,49,unlearning_score,0.0125
mnist,exact_retraining,49,forget_confidence_mean_unlearned,0.9826
mnist,exact_retraining,49,forget_entropy_mean_unlearned,0.0539
mnist,exact_retraining,49,mia_accuracy_unlearned,0.5282
mnist,exact_retraining,49,mia_improvement,-0.0064
mnist,exact_retraining,49,js_divergence_mean,0.0110
mnist,exact_retraining,49,activation_cosine_similarity,0.0062
mnist,exact_retraining,49,retrain_fraction,0.7299
mnist,exact_retraining,50,utility_accuracy_test,0.9853
mnist,exact_retraining,50,unlearning_score,0.0129
mnist,exact_retraining,50,forget_confidence_mean_unlearned,0.9809
mnist,exact_retraining,50,forget_entropy_mean_unlearned,0.0599
mnist,exact_retraining,50,mia_accuracy_unlearned,0.5265
mnist,exact_retraining,50,mia_improvement,-0.0107
mnist,exact_retraining,50,js_divergence_mean,0.0115
mnist,exact_retraining,50,activation_cosine_similarity,0.0022
mnist,exact_retraining,50,retrain_fraction,0.7299
mnist,exact_retraining,51,utility_accuracy_test,0.9864
mnist,exact_retraining,51,unlearning_score,0.0121
mnist,exact_retraining,51,forget_confidence_mean_unlearned,0.9817
mnist,exact_retraining,51,forget_entropy_mean_unlearned,0.0567
mnist,exact_retraining,51,mia_accuracy_unlearned,0.5263
mnist,exact_retraining,51,mia_improvement,-0.0113
mnist,exact_retraining,51,js_divergence_mean,0.0109
mnist,exact_retraining,51,activation_cosine_similarity,0.0020
mnist,exact_retraining,51,retrain_fraction,0.7299
mnist,federated_exact_retraining,42,utility_accuracy_test,0.9868
mnist,federated_exact_retraining,42,unlearning_score,0.0121
mnist,federated_exact_retraining,42,forget_confidence_mean_unlearned,0.9944
mnist,federated_exact_retraining,42,forget_entropy_mean_unlearned,0.0142
mnist,federated_exact_retraining,42,mia_accuracy_unlearned,0.5309
mnist,federated_exact_retraining,42,mia_improvement,-0.0052
mnist,federated_exact_retraining,42,js_divergence_mean,0.0081
mnist,federated_exact_retraining,43,utility_accuracy_test,0.9869
mnist,federated_exact_retraining,43,unlearning_score,0.0114
mnist,federated_exact_retraining,43,forget_confidence_mean_unlearned,0.9940
mnist,federated_exact_retraining,43,forget_entropy_mean_unlearned,0.0151
mnist,federated_exact_retraining,43,mia_accuracy_unlearned,0.5313
mnist,federated_exact_retraining,43,mia_improvement,-0.0060
mnist,federated_exact_retraining,43,js_divergence_mean,0.0081
mnist,federated_exact_retraining,44,utility_accuracy_test,0.9874
mnist,federated_exact_retraining,44,unlearning_score,0.0106
mnist,federated_exact_retraining,44,forget_confidence_mean_unlearned,0.9947
mnist,federated_exact_retraining,44,forget_entropy_mean_unlearned,0.0135
mnist,federated_exact_retraining,44,mia_accuracy_unlearned,0.5287
mnist,federated_exact_retraining,44,mia_improvement,-0.0088
mnist,federated_exact_retraining,44,js_divergence_mean,0.0076
mnist,federated_exact_retraining,45,utility_accuracy_test,0.9873
mnist,federated_exact_retraining,45,unlearning_score,0.0116
mnist,federated_exact_retraining,45,forget_confidence_mean_unlearned,0.9946
mnist,federated_exact_retraining,45,forget_entropy_mean_unlearned,0.0137
mnist,federated_exact_retraining,45,mia_accuracy_unlearned,0.5287
mnist,federated_exact_retraining,45,mia_improvement,-0.0049
mnist,federated_exact_retraining,45,js_divergence_mean,0.0080
mnist,federated_exact_retraining,46,utility_accuracy_test,0.9873
mnist,federated_exact_retraining,46,unlearning_score,0.0115
mnist,federated_exact_retraining,46,forget_confidence_mean_unlearned,0.9945
mnist,federated_exact_retraining,46,forget_entropy_mean_unlearned,0.0140
mnist,federated_exact_retraining,46,mia_accuracy_unlearned,0.5311
mnist,federated_exact_retraining,46,mia_improvement,-0.0060
mnist,federated_exact_retraining,46,js_divergence_mean,0.0082
mnist,federated_exact_retraining,47,utility_accuracy_test,0.9885
mnist,federated_exact_retraining,47,unlearning_score,0.0103
mnist,federated_exact_retraining,47,forget_confidence_mean_unlearned,0.9949
mnist,federated_exact_retraining,47,forget_entropy_mean_unlearned,0.0130
mnist,federated_exact_retraining,47,mia_accuracy_unlearned,0.5307
mnist,federated_exact_retraining,47,mia_improvement,-0.0064
mnist,federated_exact_retraining,47,js_divergence_mean,0.0076
mnist,federated_exact_retraining,48,utility_accuracy_test,0.9876
mnist,federated_exact_retraining,48,unlearning_score,0.0105
mnist,federated_exact_retraining,48,forget_confidence_mean_unlearned,0.9946
mnist,federated_exact_retraining,48,forget_entropy_mean_unlearned,0.0137
